contract_id,group,path,status,row_count,min_rows,size_bytes
alpha158_formula_inventory,alpha158_catalog,outputs/factor_catalog_alpha158_v1/alpha158_formula_inventory.csv,pass,158,158,43403
alpha158_full_runnable_catalog,alpha158_catalog,outputs/factor_catalog_alpha158_v1/alpha158_catalog_full158_runnable.yaml,pass,155,150,97673
alpha158_remaining138_holdout_catalog,alpha158_catalog,outputs/factor_catalog_alpha158_v1/alpha158_catalog_remaining138_holdout.yaml,pass,3,1,2336
alpha158_first20_metric_index,open_source_evaluation,outputs/factor_evaluation_v4/alpha158_first20_smoke/alpha158_first20_metric_index.csv,pass,4200,1,1373341
alpha158_remaining138_metric_index,open_source_evaluation,outputs/factor_evaluation_batch_v1/alpha158_remaining138/alpha158_remaining138_metric_index.csv,pass,28948,1,10409604
alpha158_screening_input,screening,outputs/factor_screening_alpha158_v1/full158/alpha158_factor_screening_input.csv,pass,158,158,216221
alpha158_judgement_board,screening,outputs/factor_judgement_alpha158_v1/full158/alpha158_judgement_board.csv,pass,158,1,80536
alpha158_candidate_pool,candidate_pool,outputs/factor_candidate_pool_alpha158_v1/full158/alpha158_candidate_pool.csv,pass,158,1,81473
alpha158_alpha_candidates,candidate_pool,outputs/factor_candidate_pool_alpha158_v1/full158/alpha158_alpha_candidates.csv,pass,14,1,7666
alpha158_main_portfolio_diagnostics,portfolio_smoke,outputs/alpha158_portfolio_diagnostics_v1/main_2021_2023/single_factor_summary.csv,pass,14,1,5454
alpha158_recent_oos_portfolio_diagnostics,portfolio_smoke,outputs/alpha158_portfolio_diagnostics_v1/recent_oos_2024_2026/single_factor_summary.csv,pass,14,1,5448
alpha158_stability_diagnostics,stability,outputs/alpha158_stability_diagnostics_v1/main_vs_recent_oos/single_factor_stability.csv,pass,14,1,3900
ta_adapter_inventory,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_inventory.csv,pass,86,80,17525
ta_smoke_passed_catalog,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_catalog_smoke_passed.yaml,pass,5,5,3780
ta_promoted_catalog,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_catalog_promoted77.yaml,pass,77,77,48274
ta_holdout_catalog,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_catalog_holdout2.yaml,pass,2,2,1873
ta_batch_promotion_audit,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_batch_promotion_audit.csv,pass,74,74,6567
ta_remaining74_metric_index,ta_v4_batch,outputs/factor_evaluation_batch_v1/ta_remaining74_batch1/ta_remaining74_metric_index.csv,pass,1332,1,333759
ta_smoke_evaluator_status,ta_v4_smoke,outputs/factor_evaluation_v4/ta_smoke_v1/evaluator_status.csv,pass,15,15,2231
ta_smoke_metric_index,ta_v4_smoke,outputs/factor_evaluation_v4/ta_smoke_v1/open_source_metric_index.csv,pass,90,1,18595
ta_smoke_promotion_audit,ta_adapter,outputs/ta_factor_adapter_v1/smoke/ta_factor_smoke_promotion_audit.csv,pass,5,5,418
