window,sample,slice_type,slice_value,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,ic_win_rate,ic_dates,valid_rows
main_research_2021_2023,year_slice=2021,year_slice,2021,label_20d_t1,ret_20__raw,momentum,watch,0.9955857630917735,0.00441423690822651,-0.02291956025521153,-0.17642545823860054,-0.043916123689019655,,-0.3000618115249818,,242,275384
main_research_2021_2023,year_slice=2021,year_slice,2021,label_20d_t1,rev_5__raw,reversal,positive,0.9962184342293162,0.0037815657706837813,0.0012971967223299016,0.012163743928724876,0.006356007322818713,0.006356007322818713,0.05264224639826499,0.48760330578512395,242,275559
main_research_2021_2023,year_slice=2021,year_slice,2021,label_20d_t1,std_20__raw,risk,negative,0.98738634514922,0.012613654850780032,-0.04467237758837289,-0.3517988662682587,-0.09584166927781268,0.09584166927781268,-0.6361030744386102,0.6611570247933884,242,273116
main_research_2021_2023,year_slice=2021,year_slice,2021,label_20d_t1,amplitude_20__raw,risk,negative,0.9878780210046818,0.012121978995318194,-0.05201252288147119,-0.35124067688889343,-0.10385856313943324,0.10385856313943324,-0.6106720298979585,0.6487603305785123,242,273252
main_research_2021_2023,year_slice=2021,year_slice,2021,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9878780210046818,0.012121978995318194,-0.06023925986940696,-0.48218255458632175,-0.1055681313268706,,-0.672216037679697,,242,273252
main_research_2021_2023,year_slice=2022,year_slice,2022,label_20d_t1,ret_20__raw,momentum,watch,0.9957908032885033,0.0042091967114966655,-0.08492395358571382,-0.7841672230857523,-0.10283389064594882,,-0.8080376416859617,,242,272771
main_research_2021_2023,year_slice=2022,year_slice,2022,label_20d_t1,rev_5__raw,reversal,positive,0.9965136315182314,0.0034863684817686424,0.04335885171755695,0.38718256590456945,0.03932657403223359,0.03932657403223359,0.2858828242258872,0.6322314049586777,242,272969
main_research_2021_2023,year_slice=2022,year_slice,2022,label_20d_t1,std_20__raw,risk,negative,0.9889859961157109,0.01101400388428908,-0.042722901280764926,-0.3133608320519297,-0.08084969515946082,0.08084969515946082,-0.538071372363384,0.6983471074380165,242,270907
main_research_2021_2023,year_slice=2022,year_slice,2022,label_20d_t1,amplitude_20__raw,risk,negative,0.9893729647639491,0.010627035236050908,-0.05686732849315283,-0.38443877874025645,-0.10177479044957809,0.10177479044957809,-0.626757471751659,0.6942148760330579,242,271013
main_research_2021_2023,year_slice=2022,year_slice,2022,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9893729647639491,0.010627035236050908,-0.03861104048745439,-0.5087774619443127,-0.07023324527719478,,-0.7442384143151285,,242,271013
main_research_2021_2023,year_slice=2023,year_slice,2023,label_20d_t1,ret_20__raw,momentum,watch,0.9974138119972823,0.002586188002717704,-0.03304797014625734,-0.2383972481073416,-0.02887216256507344,,-0.20109548825410492,,242,273054
main_research_2021_2023,year_slice=2023,year_slice,2023,label_20d_t1,rev_5__raw,reversal,positive,0.9978119680598476,0.0021880319401523796,0.027088940039832372,0.22597351364591733,0.013110417234398089,0.013110417234398089,0.09570714052188715,0.5330578512396694,242,273163
main_research_2021_2023,year_slice=2023,year_slice,2023,label_20d_t1,std_20__raw,risk,negative,0.993907116400377,0.006092883599623011,-0.04613359295312485,-0.24534351040905958,-0.10634380971687202,0.10634380971687202,-0.5399794576552703,0.7024793388429752,242,272094
main_research_2021_2023,year_slice=2023,year_slice,2023,label_20d_t1,amplitude_20__raw,risk,negative,0.994129937683097,0.005870062316903013,-0.061761788497413025,-0.2976042509071077,-0.12395713440104818,0.12395713440104818,-0.5711771100541019,0.6983471074380165,242,272155
main_research_2021_2023,year_slice=2023,year_slice,2023,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.994129937683097,0.005870062316903013,-0.06822779247738019,-0.6477590784608687,-0.12008658611654313,,-1.0870383048210934,,242,272155
main_research_2021_2023,liquidity_bucket=3.0,liquidity_bucket,3.0,label_20d_t1,ret_20__raw,momentum,watch,0.9958531506377977,0.004146849362202332,0.009780024520073458,0.07910522879553075,-0.0051129495880449065,,-0.0355328061294889,,726,277850
main_research_2021_2023,liquidity_bucket=3.0,liquidity_bucket,3.0,label_20d_t1,rev_5__raw,reversal,positive,0.9966667502965876,0.003333249703412422,-0.014736210267445142,-0.12717734202626851,-0.0160401461900035,-0.0160401461900035,-0.11962786283462777,0.44490358126721763,726,278077
main_research_2021_2023,liquidity_bucket=3.0,liquidity_bucket,3.0,label_20d_t1,std_20__raw,risk,negative,0.9887852276107768,0.011214772389223193,0.0036535023594797375,0.029887684488256898,-0.04243414098149558,0.04243414098149558,-0.27825782906896857,0.6294765840220385,726,275878
main_research_2021_2023,liquidity_bucket=3.0,liquidity_bucket,3.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9892368291834972,0.010763170816502798,-0.0026423115490445807,-0.01883196679755997,-0.05514592069624201,0.05514592069624201,-0.3207613472818916,0.6225895316804407,726,276004
main_research_2021_2023,liquidity_bucket=3.0,liquidity_bucket,3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9892368291834972,0.010763170816502798,-0.035190471342717695,-0.3993025870778848,-0.048445655942423935,,-0.4880274826859653,,726,276004
main_research_2021_2023,liquidity_bucket=4.0,liquidity_bucket,4.0,label_20d_t1,ret_20__raw,momentum,watch,0.9962854484434002,0.003714551556599832,-0.014499160160243368,-0.11819566363511767,-0.02961830687462415,,-0.2060542215903281,,726,275185
main_research_2021_2023,liquidity_bucket=4.0,liquidity_bucket,4.0,label_20d_t1,rev_5__raw,reversal,positive,0.9966800742910311,0.003319925708968885,-0.0003840735053044084,-0.003269509930476063,-0.0015390396878280728,-0.0015390396878280728,-0.011096005345903683,0.5055096418732782,726,275294
main_research_2021_2023,liquidity_bucket=4.0,liquidity_bucket,4.0,label_20d_t1,std_20__raw,risk,negative,0.9897143850172513,0.010285614982748714,-0.010493420503774064,-0.07449558292139867,-0.062449283162078574,0.062449283162078574,-0.38522800230166265,0.6487603305785123,726,273370
main_research_2021_2023,liquidity_bucket=4.0,liquidity_bucket,4.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9900655658174367,0.009934434182563345,-0.025018872164698357,-0.1595815189881917,-0.08276129326126486,0.08276129326126486,-0.4637108321326635,0.662534435261708,726,273467
main_research_2021_2023,liquidity_bucket=4.0,liquidity_bucket,4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9900655658174367,0.009934434182563345,-0.02521978892167865,-0.26088497211626405,-0.040527888812374166,,-0.38310465781131425,,726,273467
main_research_2021_2023,liquidity_bucket=5.0,liquidity_bucket,5.0,label_20d_t1,ret_20__raw,momentum,watch,0.9966588992578223,0.0033411007421777494,-0.06699300303701411,-0.4005641386688512,-0.08944391861080152,,-0.5172771619269395,,726,268174
main_research_2021_2023,liquidity_bucket=5.0,liquidity_bucket,5.0,label_20d_t1,rev_5__raw,reversal,positive,0.9972015029378645,0.00279849706213553,0.038697382184865285,0.2749445317710237,0.04200095129499454,0.04200095129499454,0.2729947902600374,0.6046831955922864,726,268320
main_research_2021_2023,liquidity_bucket=5.0,liquidity_bucket,5.0,label_20d_t1,std_20__raw,risk,negative,0.9918089143094997,0.00819108569050031,-0.05903960019411917,-0.30219052589735984,-0.11025453018167337,0.11025453018167337,-0.5315832829291984,0.6873278236914601,726,266869
main_research_2021_2023,liquidity_bucket=5.0,liquidity_bucket,5.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9921062313944543,0.007893768605545692,-0.0723971875942651,-0.3406321791193547,-0.1252034161943032,0.1252034161943032,-0.5570296270045538,0.6887052341597796,726,266949
main_research_2021_2023,liquidity_bucket=5.0,liquidity_bucket,5.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9921062313944543,0.007893768605545692,-0.03281191634660061,-0.309696624823082,-0.03376743155885581,,-0.24776347247630878,,726,266949
main_research_2021_2023,volatility_bucket=1.0,volatility_bucket,1.0,label_20d_t1,ret_20__raw,momentum,watch,0.9984319802807793,0.0015680197192207146,0.02243666316603356,0.13927477170358218,-0.0005963112936979495,,-0.003321671018484407,,726,163644
main_research_2021_2023,volatility_bucket=1.0,volatility_bucket,1.0,label_20d_t1,rev_5__raw,reversal,positive,0.9985845113818708,0.0014154886181292348,-0.02021861675237405,-0.13162628499419535,-0.0043076627846378975,-0.0043076627846378975,-0.025419294171030612,0.4669421487603306,726,163669
main_research_2021_2023,volatility_bucket=1.0,volatility_bucket,1.0,label_20d_t1,std_20__raw,risk,negative,0.9984319802807793,0.0015680197192207146,0.000332066476535562,0.0024916553829780587,-0.026899499848502456,0.026899499848502456,-0.18110701853538586,0.5826446280991735,726,163644
