pool_name,factor,source_family,source_project,category,screening_gate,promotion_decision,promotion_reason,upstream_role,judgement_role,research_included,downstream_default_included,judgement_label,judgement_reason,source_policy,expected_direction,consensus_direction,consensus_direction_sign,direction_agreement_count,direction_observation_count,direction_agreement_ratio,primary_mean_ic,max_abs_mean_ic,max_abs_qlib_ir,max_abs_ann_alpha,coverage,missing_rate,valid_rows,total_rows,metric_value_count,alphalens_status,jqfactor_status,qlib_status,alphalens_mean_ic_10d,alphalens_mean_ic_20d,jqfactor_mean_ic_10d,jqfactor_mean_ic_20d,qlib_information_ratio_10d,qlib_information_ratio_20d,alphalens_ann_alpha_10d,alphalens_ann_alpha_20d,judgement_issue_tags,license,compute_adapter
multi_source_judgement_v1,ta_volatility_atr,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1275683861606252,0.1275683861606252,9.604630023852412,0.1395862967671007,0.959501996711299,0.040498003288701,20423,21285,18.0,pass,partial_pass,pass,-0.0856216142673686,-0.1275683861606252,-0.0856216142673686,-0.1275683861606252,-6.495478483390695,-9.604630023852412,-0.1395862967671007,-0.135773653991524,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volume_vwap,ta,ta,ta_volume,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1205035453161931,0.1205035453161931,9.053554357206922,0.1866082180226863,0.9127554615926708,0.0872445384073291,19428,21285,18.0,pass,partial_pass,pass,-0.0607591183484973,-0.1205035453161931,-0.0607591183484973,-0.1205035453161931,-4.205814698299138,-9.053554357206922,-0.1830816120741991,-0.1866082180226863,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_trend_sma_fast,ta,ta,ta_trend,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1195050715293993,0.1195050715293993,9.062297637329948,0.1855634362973406,0.9252525252525252,0.0747474747474747,19694,21285,18.0,pass,partial_pass,pass,-0.0605115424691647,-0.1195050715293993,-0.0605115424691647,-0.1195050715293993,-4.195922318027999,-9.062297637329948,-0.1832100566972095,-0.1855634362973406,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volatility_kcc,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1193726103451731,0.1193726103451731,9.147213467724832,0.1850395917218622,0.9377495889123796,0.0622504110876204,19960,21285,18.0,pass,partial_pass,pass,-0.0612426662752921,-0.1193726103451731,-0.0612426662752921,-0.1193726103451731,-4.253407951758656,-9.147213467724832,-0.1833929466712965,-0.1850395917218622,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_trend_ichimoku_conv,ta,ta,ta_trend,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1189348536232791,0.1189348536232792,9.110527869590294,0.184440080057713,0.9439981207423068,0.0560018792576931,20093,21285,18.0,pass,partial_pass,pass,-0.060955774721633,-0.1189348536232791,-0.0609557747216329,-0.1189348536232792,-4.234905732153398,-9.110527869590294,-0.1830065899664064,-0.184440080057713,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volatility_kch,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1187359193923874,0.1187359193923874,9.061715612578585,0.1839099313343482,0.9977448907681464,0.0022551092318534,21237,21285,18.0,pass,partial_pass,pass,-0.0618262765681246,-0.1187359193923874,-0.0618262765681246,-0.1187359193923874,-4.291946624748485,-9.061715612578585,-0.1815951814291864,-0.1839099313343482,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_trend_ema_fast,ta,ta,ta_trend,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1186684670929766,0.1186684670929766,9.01191930719768,0.1835812451917944,0.9373267559314072,0.0626732440685928,19951,21285,18.0,pass,partial_pass,pass,-0.0610026838934186,-0.1186684670929766,-0.0610026838934186,-0.1186684670929766,-4.203679773707575,-9.01191930719768,-0.1827817003000021,-0.1835812451917944,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_momentum_kama,ta,ta,ta_momentum,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1175943951814374,0.1175943951814375,9.190936745225256,0.1753395284616097,0.915621329574818,0.0843786704251821,19489,21285,18.0,pass,partial_pass,pass,-0.0603247153735472,-0.1175943951814374,-0.0603247153735472,-0.1175943951814375,-4.289223757529402,-9.190936745225256,-0.1753395284616097,-0.1631957103841036,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volatility_kcl,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1172082540589444,0.1172082540589444,8.963050233379217,0.1845411647222763,0.9977448907681464,0.0022551092318534,21237,21285,18.0,pass,partial_pass,pass,-0.0592885384245396,-0.1172082540589444,-0.0592885384245396,-0.1172082540589444,-4.090622073504,-8.963050233379217,-0.1837424656589533,-0.1845411647222763,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_trend_ichimoku_b,ta,ta,ta_trend,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.1148480879163418,0.1148480879163418,8.553694403212406,0.1884834859604631,0.9998120742306787,0.0001879257693211,21281,21285,18.0,pass,partial_pass,pass,-0.0587265506956492,-0.1148480879163418,-0.0587265506956492,-0.1148480879163418,-3.989759929287811,-8.553694403212406,-0.1884834859604631,-0.1852384273787226,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volatility_kcw,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.0942207452034506,0.0942207452034506,8.15139981483361,0.1360127494481636,0.9377495889123796,0.0622504110876204,19960,21285,18.0,pass,partial_pass,pass,-0.093294793144997,-0.0942207452034506,-0.093294793144997,-0.0942207452034506,-8.15139981483361,-8.129630721889848,-0.1136131664630756,-0.1360127494481636,,MIT,factor_research.ta_source.compute_ta_features
multi_source_judgement_v1,ta_volatility_ui,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.0743776431406686,0.0743776431406687,6.496057011885704,0.1067401478623341,0.9127554615926708,0.0872445384073291,19428,21285,18.0,pass,partial_pass,pass,-0.0692901897738136,-0.0743776431406686,-0.0692901897738136,-0.0743776431406687,-5.745384737325641,-6.496057011885704,-0.1067401478623341,-0.0823221480273328,,MIT,factor_research.ta_source.compute_ta_features
